Date;Team;Opponent;For;Against;Venue;Result;Season;MD;Result Margin
15.03.2025;Dynamo Makhachkala;Krylia Sovetov;4;0;H;W;2024/25;21;4
15.03.2025;Krylia Sovetov;Dynamo Makhachkala;0;4;A;L;2024/25;21;-4
16.03.2025;Akron;CSKA Moscow;1;2;H;L;2024/25;21;-1
16.03.2025;CSKA Moscow;Akron;2;1;A;W;2024/25;21;1
16.03.2025;Rostov;FK Krasnodar;0;1;H;L;2024/25;21;-1
16.03.2025;FK Krasnodar;Rostov;1;0;A;W;2024/25;21;1
16.03.2025;Rubin Kazan;Nizhny Novgorod;1;0;H;W;2024/25;21;1
16.03.2025;Nizhny Novgorod;Rubin Kazan;0;1;A;L;2024/25;21;-1
16.03.2025;Spartak Moscow;Zenit St Petersburg;2;1;H;W;2024/25;21;1
16.03.2025;Zenit St Petersburg;Spartak Moscow;1;2;A;L;2024/25;21;-1
28.03.2025;Krylia Sovetov;Lokomotiv Moscow;5;1;H;W;2024/25;22;4
28.03.2025;Lokomotiv Moscow;Krylia Sovetov;1;5;A;L;2024/25;22;-4
29.03.2025;Dinamo Moscow;Orenburg;5;1;H;W;2024/25;22;4
29.03.2025;Orenburg;Dinamo Moscow;1;5;A;L;2024/25;22;-4
29.03.2025;FC Khimki;Nizhny Novgorod;2;0;H;W;2024/25;22;2
29.03.2025;Nizhny Novgorod;FC Khimki;0;2;A;L;2024/25;22;-2
29.03.2025;CSKA Moscow;Dynamo Makhachkala;2;0;H;W;2024/25;22;2
29.03.2025;Dynamo Makhachkala;CSKA Moscow;0;2;A;L;2024/25;22;-2
30.03.2025;FK Krasnodar;Fakel Voronezh;5;0;H;W;2024/25;22;5
30.03.2025;Fakel Voronezh;FK Krasnodar;0;5;A;L;2024/25;22;-5
30.03.2025;Akhmat Grozny;Spartak Moscow;0;0;H;D;2024/25;22;0
30.03.2025;Spartak Moscow;Akhmat Grozny;0;0;A;D;2024/25;22;0
30.03.2025;Zenit St Petersburg;Rubin Kazan;4;0;H;W;2024/25;22;4
30.03.2025;Rubin Kazan;Zenit St Petersburg;0;4;A;L;2024/25;22;-4
04.04.2025;Nizhny Novgorod;Orenburg;1;2;H;L;2024/25;23;-1
04.04.2025;Orenburg;Nizhny Novgorod;2;1;A;W;2024/25;23;1
05.04.2025;FK Krasnodar;Akron;1;0;H;W;2024/25;23;1
05.04.2025;Akron;FK Krasnodar;0;1;A;L;2024/25;23;-1
05.04.2025;Krylia Sovetov;Rubin Kazan;1;1;H;D;2024/25;23;0
05.04.2025;Rubin Kazan;Krylia Sovetov;1;1;A;D;2024/25;23;0
05.04.2025;Fakel Voronezh;Akhmat Grozny;0;0;H;D;2024/25;23;0
05.04.2025;Akhmat Grozny;Fakel Voronezh;0;0;A;D;2024/25;23;0
05.04.2025;Lokomotiv Moscow;Zenit St Petersburg;1;1;H;D;2024/25;23;0
05.04.2025;Zenit St Petersburg;Lokomotiv Moscow;1;1;A;D;2024/25;23;0
06.04.2025;Rostov;Spartak Moscow;0;3;H;L;2024/25;23;-3
06.04.2025;Spartak Moscow;Rostov;3;0;A;W;2024/25;23;3
06.04.2025;CSKA Moscow;Dinamo Moscow;3;1;H;W;2024/25;23;2
06.04.2025;Dinamo Moscow;CSKA Moscow;1;3;A;L;2024/25;23;-2
06.04.2025;Dynamo Makhachkala;FC Khimki;4;1;H;W;2024/25;23;3
06.04.2025;FC Khimki;Dynamo Makhachkala;1;4;A;L;2024/25;23;-3
11.04.2025;Spartak Moscow;Dynamo Makhachkala;1;2;H;L;2024/25;24;-1
11.04.2025;Dynamo Makhachkala;Spartak Moscow;2;1;A;W;2024/25;24;1
12.04.2025;Orenburg;CSKA Moscow;0;2;H;L;2024/25;24;-2
12.04.2025;CSKA Moscow;Orenburg;2;0;A;W;2024/25;24;2
12.04.2025;Akhmat Grozny;Rostov;2;1;H;W;2024/25;24;1
12.04.2025;Rostov;Akhmat Grozny;1;2;A;L;2024/25;24;-1
12.04.2025;Rubin Kazan;Lokomotiv Moscow;1;0;H;W;2024/25;24;1
12.04.2025;Lokomotiv Moscow;Rubin Kazan;0;1;A;L;2024/25;24;-1
12.04.2025;Nizhny Novgorod;Dinamo Moscow;1;1;H;D;2024/25;24;0
12.04.2025;Dinamo Moscow;Nizhny Novgorod;1;1;A;D;2024/25;24;0
13.04.2025;Akron;Fakel Voronezh;1;0;H;W;2024/25;24;1
13.04.2025;Fakel Voronezh;Akron;0;1;A;L;2024/25;24;-1
13.04.2025;FC Khimki;Krylia Sovetov;1;3;H;L;2024/25;24;-2
13.04.2025;Krylia Sovetov;FC Khimki;3;1;A;W;2024/25;24;2
13.04.2025;Zenit St Petersburg;FK Krasnodar;4;1;H;W;2024/25;24;3
13.04.2025;FK Krasnodar;Zenit St Petersburg;1;4;A;L;2024/25;24;-3
19.04.2025;Akron;Spartak Moscow;2;3;H;L;2024/25;25;-1
19.04.2025;Spartak Moscow;Akron;3;2;A;W;2024/25;25;1
19.04.2025;FK Krasnodar;Akhmat Grozny;3;1;H;W;2024/25;25;2
19.04.2025;Akhmat Grozny;FK Krasnodar;1;3;A;L;2024/25;25;-2
19.04.2025;Orenburg;Dynamo Makhachkala;2;1;H;W;2024/25;25;1
19.04.2025;Dynamo Makhachkala;Orenburg;1;2;A;L;2024/25;25;-1
19.04.2025;Lokomotiv Moscow;Nizhny Novgorod;3;0;H;W;2024/25;25;3
19.04.2025;Nizhny Novgorod;Lokomotiv Moscow;0;3;A;L;2024/25;25;-3
20.04.2025;Fakel Voronezh;Rostov;0;2;H;L;2024/25;25;-2
20.04.2025;Rostov;Fakel Voronezh;2;0;A;W;2024/25;25;2
20.04.2025;Dinamo Moscow;Rubin Kazan;3;1;H;W;2024/25;25;2
20.04.2025;Rubin Kazan;Dinamo Moscow;1;3;A;L;2024/25;25;-2
20.04.2025;CSKA Moscow;Krylia Sovetov;1;1;H;D;2024/25;25;0
20.04.2025;Krylia Sovetov;CSKA Moscow;1;1;A;D;2024/25;25;0
20.04.2025;Zenit St Petersburg;FC Khimki;1;0;H;W;2024/25;25;1
20.04.2025;FC Khimki;Zenit St Petersburg;0;1;A;L;2024/25;25;-1
25.04.2025;Dynamo Makhachkala;FK Krasnodar;2;3;H;L;2024/25;26;-1
25.04.2025;FK Krasnodar;Dynamo Makhachkala;3;2;A;W;2024/25;26;1
26.04.2025;Spartak Moscow;CSKA Moscow;1;2;H;L;2024/25;26;-1
26.04.2025;CSKA Moscow;Spartak Moscow;2;1;A;W;2024/25;26;1
26.04.2025;Nizhny Novgorod;Akhmat Grozny;1;0;H;W;2024/25;26;1
26.04.2025;Akhmat Grozny;Nizhny Novgorod;0;1;A;L;2024/25;26;-1
26.04.2025;Dinamo Moscow;Zenit St Petersburg;1;1;H;D;2024/25;26;0
26.04.2025;Zenit St Petersburg;Dinamo Moscow;1;1;A;D;2024/25;26;0
27.04.2025;FC Khimki;Akron;2;2;H;D;2024/25;26;0
27.04.2025;Akron;FC Khimki;2;2;A;D;2024/25;26;0
27.04.2025;Krylia Sovetov;Orenburg;2;0;H;W;2024/25;26;2
27.04.2025;Orenburg;Krylia Sovetov;0;2;A;L;2024/25;26;-2
27.04.2025;Rubin Kazan;Fakel Voronezh;2;1;H;W;2024/25;26;1
27.04.2025;Fakel Voronezh;Rubin Kazan;1;2;A;L;2024/25;26;-1
02.05.2025;Akron;Dynamo Makhachkala;1;0;H;W;2024/25;27;1
02.05.2025;Dynamo Makhachkala;Akron;0;1;A;L;2024/25;27;-1
03.05.2025;FK Krasnodar;Rubin Kazan;2;1;H;W;2024/25;27;1
03.05.2025;Rubin Kazan;FK Krasnodar;1;2;A;L;2024/25;27;-1
03.05.2025;Lokomotiv Moscow;Orenburg;1;1;H;D;2024/25;27;0
03.05.2025;Orenburg;Lokomotiv Moscow;1;1;A;D;2024/25;27;0
04.05.2025;FC Khimki;Rostov;1;1;H;D;2024/25;27;0
04.05.2025;Rostov;FC Khimki;1;1;A;D;2024/25;27;0
04.05.2025;Akhmat Grozny;CSKA Moscow;1;1;H;D;2024/25;27;0
04.05.2025;CSKA Moscow;Akhmat Grozny;1;1;A;D;2024/25;27;0
04.05.2025;Fakel Voronezh;Spartak Moscow;0;0;H;D;2024/25;27;0
04.05.2025;Spartak Moscow;Fakel Voronezh;0;0;A;D;2024/25;27;0
04.05.2025;Zenit St Petersburg;Nizhny Novgorod;2;1;H;W;2024/25;27;1
04.05.2025;Nizhny Novgorod;Zenit St Petersburg;1;2;A;L;2024/25;27;-1
05.05.2025;Krylia Sovetov;Dinamo Moscow;1;3;H;L;2024/25;27;-2
05.05.2025;Dinamo Moscow;Krylia Sovetov;3;1;A;W;2024/25;27;2
10.05.2025;Orenburg;FC Khimki;1;1;H;D;2024/25;28;0
10.05.2025;FC Khimki;Orenburg;1;1;A;D;2024/25;28;0
10.05.2025;Dynamo Makhachkala;Zenit St Petersburg;0;1;H;L;2024/25;28;-1
10.05.2025;Zenit St Petersburg;Dynamo Makhachkala;1;0;A;W;2024/25;28;1
11.05.2025;Rubin Kazan;Rostov;1;0;H;W;2024/25;28;1
11.05.2025;Rostov;Rubin Kazan;0;1;A;L;2024/25;28;-1
11.05.2025;Akron;Akhmat Grozny;3;2;H;W;2024/25;28;1
11.05.2025;Akhmat Grozny;Akron;2;3;A;L;2024/25;28;-1
11.05.2025;Dinamo Moscow;Spartak Moscow;2;0;H;W;2024/25;28;2
11.05.2025;Spartak Moscow;Dinamo Moscow;0;2;A;L;2024/25;28;-2
11.05.2025;Fakel Voronezh;Lokomotiv Moscow;0;1;H;L;2024/25;28;-1
11.05.2025;Lokomotiv Moscow;Fakel Voronezh;1;0;A;W;2024/25;28;1
12.05.2025;Nizhny Novgorod;Krylia Sovetov;5;2;H;W;2024/25;28;3
12.05.2025;Krylia Sovetov;Nizhny Novgorod;2;5;A;L;2024/25;28;-3
17.05.2025;FC Khimki;Rubin Kazan;3;2;H;W;2024/25;29;1
17.05.2025;Rubin Kazan;FC Khimki;2;3;A;L;2024/25;29;-1
17.05.2025;Orenburg;FK Krasnodar;1;2;H;L;2024/25;29;-1
17.05.2025;FK Krasnodar;Orenburg;2;1;A;W;2024/25;29;1
17.05.2025;Nizhny Novgorod;Fakel Voronezh;1;1;H;D;2024/25;29;0
17.05.2025;Fakel Voronezh;Nizhny Novgorod;1;1;A;D;2024/25;29;0
18.05.2025;Dinamo Moscow;Akron;2;1;H;W;2024/25;29;1
18.05.2025;Akron;Dinamo Moscow;1;2;A;L;2024/25;29;-1
18.05.2025;Rostov;Zenit St Petersburg;0;1;H;L;2024/25;29;-1
18.05.2025;Zenit St Petersburg;Rostov;1;0;A;W;2024/25;29;1
18.05.2025;Krylia Sovetov;Spartak Moscow;0;2;H;L;2024/25;29;-2
18.05.2025;Spartak Moscow;Krylia Sovetov;2;0;A;W;2024/25;29;2
18.05.2025;Akhmat Grozny;Dynamo Makhachkala;1;1;H;D;2024/25;29;0
18.05.2025;Dynamo Makhachkala;Akhmat Grozny;1;1;A;D;2024/25;29;0
19.05.2025;Lokomotiv Moscow;CSKA Moscow;2;2;H;D;2024/25;29;0
19.05.2025;CSKA Moscow;Lokomotiv Moscow;2;2;A;D;2024/25;29;0
